ontology_id	ontology_name	nr_common_with_tested_elements	nr_common_with_background_elements	p_value	eFDR	source	direction
saa00250	Alanine, aspartate and glutamate metabolism	3	20	0.0226879076752002	0.151	KEGG	Down-planktonic
saa00260	Glycine, serine and threonine metabolism	0	29	1	1	KEGG	Down-planktonic
saa00261	Monobactam biosynthesis	0	5	1	1	KEGG	Down-planktonic
saa00270	Cysteine and methionine metabolism	0	25	1	1	KEGG	Down-planktonic
saa00280	Valine, leucine and isoleucine degradation	0	12	1	1	KEGG	Down-planktonic
saa00290	Valine, leucine and isoleucine biosynthesis	1	11	0.294994038024489	0.929647058823529	KEGG	Down-planktonic
saa00300	Lysine biosynthesis	0	12	1	1	KEGG	Down-planktonic
saa00310	Lysine degradation	0	9	1	1	KEGG	Down-planktonic
saa00330	Arginine and proline metabolism	0	10	1	1	KEGG	Down-planktonic
saa00340	Histidine metabolism	0	8	1	1	KEGG	Down-planktonic
saa00362	Benzoate degradation	0	8	1	1	KEGG	Down-planktonic
saa00380	Tryptophan metabolism	0	9	1	1	KEGG	Down-planktonic
saa00400	Phenylalanine, tyrosine and tryptophan biosynthesis	0	12	1	1	KEGG	Down-planktonic
saa00410	beta-Alanine metabolism	0	5	1	1	KEGG	Down-planktonic
saa00430	Taurine and hypotaurine metabolism	0	6	1	1	KEGG	Down-planktonic
saa00450	Selenocompound metabolism	0	7	1	1	KEGG	Down-planktonic
saa00470	D-Amino acid metabolism	0	14	1	1	KEGG	Down-planktonic
saa00480	Glutathione metabolism	0	7	1	1	KEGG	Down-planktonic
saa00500	Starch and sucrose metabolism	0	15	1	1	KEGG	Down-planktonic
saa00520	Amino sugar and nucleotide sugar metabolism	1	24	0.534611905477056	1	KEGG	Down-planktonic
saa00541	Biosynthesis of various nucleotide sugars	0	9	1	1	KEGG	Down-planktonic
saa00550	Peptidoglycan biosynthesis	1	27	0.577293038938851	1	KEGG	Down-planktonic
saa00552	Teichoic acid biosynthesis	0	22	1	1	KEGG	Down-planktonic
saa00561	Glycerolipid metabolism	0	16	1	1	KEGG	Down-planktonic
saa00562	Inositol phosphate metabolism	0	5	1	1	KEGG	Down-planktonic
saa00564	Glycerophospholipid metabolism	0	20	1	1	KEGG	Down-planktonic
saa00620	Pyruvate metabolism	1	42	0.739200500104527	1	KEGG	Down-planktonic
saa00630	Glyoxylate and dicarboxylate metabolism	1	22	0.503825506401558	1	KEGG	Down-planktonic
saa00640	Propanoate metabolism	0	25	1	1	KEGG	Down-planktonic
saa00650	Butanoate metabolism	2	17	0.0966309770356137	0.3853	KEGG	Down-planktonic
saa00660	C5-Branched dibasic acid metabolism	2	9	0.0300027987612086	0.194714285714286	KEGG	Down-planktonic
saa00670	One carbon pool by folate	2	19	0.116807366962697	0.431818181818182	KEGG	Down-planktonic
saa00680	Methane metabolism	1	18	0.43610586343276	1	KEGG	Down-planktonic
saa00710	Carbon fixation by Calvin cycle	0	12	1	1	KEGG	Down-planktonic
saa00720	Other carbon fixation pathways	0	25	1	1	KEGG	Down-planktonic
saa00730	Thiamine metabolism	0	10	1	1	KEGG	Down-planktonic
saa00740	Riboflavin metabolism	0	10	1	1	KEGG	Down-planktonic
saa00760	Nicotinate and nicotinamide metabolism	0	6	1	1	KEGG	Down-planktonic
saa00770	Pantothenate and CoA biosynthesis	1	17	0.417799286525456	1	KEGG	Down-planktonic
saa00780	Biotin metabolism	0	8	1	1	KEGG	Down-planktonic
saa00785	Lipoic acid metabolism	0	19	1	1	KEGG	Down-planktonic
saa00790	Folate biosynthesis	0	20	1	1	KEGG	Down-planktonic
saa00860	Porphyrin metabolism	0	15	1	1	KEGG	Down-planktonic
saa00900	Terpenoid backbone biosynthesis	0	13	1	1	KEGG	Down-planktonic
saa00906	Carotenoid biosynthesis	0	6	1	1	KEGG	Down-planktonic
saa00910	Nitrogen metabolism	0	12	1	1	KEGG	Down-planktonic
saa00920	Sulfur metabolism	0	8	1	1	KEGG	Down-planktonic
saa00970	Aminoacyl-tRNA biosynthesis	2	49	0.456516590316692	1	KEGG	Down-planktonic
saa00975	Biosynthesis of various siderophores	0	7	1	1	KEGG	Down-planktonic
saa01100	Metabolic pathways	21	501	0.0815866901920228	0.377666666666667	KEGG	Down-planktonic
saa01110	Biosynthesis of secondary metabolites	8	258	0.56530397006746	1	KEGG	Down-planktonic
saa01120	Microbial metabolism in diverse environments	7	138	0.135264690199953	0.43225	KEGG	Down-planktonic
saa01200	Carbon metabolism	1	80	0.924402114174312	1	KEGG	Down-planktonic
saa01210	2-Oxocarboxylic acid metabolism	2	31	0.251884656686573	0.844125	KEGG	Down-planktonic
saa01212	Fatty acid metabolism	0	18	1	1	KEGG	Down-planktonic
saa01220	Degradation of aromatic compounds	0	5	1	1	KEGG	Down-planktonic
saa01230	Biosynthesis of amino acids	1	88	0.941912332832766	1	KEGG	Down-planktonic
saa01232	Nucleotide metabolism	0	31	1	1	KEGG	Down-planktonic
saa01240	Biosynthesis of cofactors	3	106	0.652544298233449	1	KEGG	Down-planktonic
saa01250	Biosynthesis of nucleotide sugars	1	19	0.453844668792208	1	KEGG	Down-planktonic
saa01310	Nitrogen cycle	0	5	1	1	KEGG	Down-planktonic
saa01501	beta-Lactam resistance	0	11	1	1	KEGG	Down-planktonic
saa01502	Vancomycin resistance	1	6	0.17341267935178	0.600071428571429	KEGG	Down-planktonic
saa01503	Cationic antimicrobial peptide (CAMP) resistance	0	13	1	1	KEGG	Down-planktonic
saa02010	ABC transporters	2	73	0.673628591493942	1	KEGG	Down-planktonic
saa02020	Two-component system	0	77	1	1	KEGG	Down-planktonic
saa02024	Quorum sensing	4	51	0.0723897239912255	0.384375	KEGG	Down-planktonic
saa02060	Phosphotransferase system (PTS)	2	21	0.137936374608402	0.443769230769231	KEGG	Down-planktonic
saa03010	Ribosome	12	67	5.11090191057662e-07	0	KEGG	Down-planktonic
saa03018	RNA degradation	0	14	1	1	KEGG	Down-planktonic
saa03020	RNA polymerase	0	5	1	1	KEGG	Down-planktonic
saa03030	DNA replication	0	16	1	1	KEGG	Down-planktonic
saa03060	Protein export	0	15	1	1	KEGG	Down-planktonic
saa03070	Bacterial secretion system	0	12	1	1	KEGG	Down-planktonic
saa03410	Base excision repair	0	10	1	1	KEGG	Down-planktonic
saa03420	Nucleotide excision repair	0	7	1	1	KEGG	Down-planktonic
saa03430	Mismatch repair	0	18	1	1	KEGG	Down-planktonic
saa03440	Homologous recombination	0	21	1	1	KEGG	Down-planktonic
saa04122	Sulfur relay system	0	10	1	1	KEGG	Down-planktonic
saa04146	Peroxisome	0	6	1	1	KEGG	Down-planktonic
saa04156	Integrated stress response (ISR) signaling pathway	0	5	1	1	KEGG	Down-planktonic
saa05150	Staphylococcus aureus infection	0	29	1	1	KEGG	Down-planktonic
GO:0000105	L-histidine biosynthetic process	0	2	1	1	GO:BP	Down-planktonic
GO:0000160	phosphorelay signal transduction system	0	7	1	1	GO:BP	Down-planktonic
GO:0000162	tryptophan biosynthetic process	0	2	1	1	GO:BP	Down-planktonic
GO:0001522	pseudouridine synthesis	0	7	1	1	GO:BP	Down-planktonic
GO:0005975	carbohydrate metabolic process	1	15	0.379410641680622	0.8435	GO:BP	Down-planktonic
GO:0006096	glycolytic process	0	10	1	1	GO:BP	Down-planktonic
GO:0006099	tricarboxylic acid cycle	0	7	1	1	GO:BP	Down-planktonic
GO:0006189	'de novo' IMP biosynthetic process	3	7	0.000932253963307317	0.007	GO:BP	Down-planktonic
GO:0006260	DNA replication	0	20	1	1	GO:BP	Down-planktonic
GO:0006265	DNA topological change	0	6	1	1	GO:BP	Down-planktonic
GO:0006281	DNA repair	0	24	1	1	GO:BP	Down-planktonic
GO:0006310	DNA recombination	0	26	1	1	GO:BP	Down-planktonic
GO:0006313	DNA transposition	0	8	1	1	GO:BP	Down-planktonic
GO:0006351	DNA-templated transcription	0	8	1	1	GO:BP	Down-planktonic
GO:0006355	regulation of DNA-templated transcription	1	47	0.778140704567526	0.902928571428571	GO:BP	Down-planktonic
GO:0006364	rRNA processing	0	9	1	1	GO:BP	Down-planktonic
GO:0006400	tRNA modification	0	10	1	1	GO:BP	Down-planktonic
GO:0006412	translation	11	60	1.26457670679425e-06	0	GO:BP	Down-planktonic
GO:0006508	proteolysis	0	15	1	1	GO:BP	Down-planktonic
