gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	direction
SAUSA300_RS04800	223.28135529601317	0.8526825925215454	0.07600342839128464	2.065455995783613e-29	6.063112761816412e-29	Not significant
SAUSA300_RS12260	249.73176063160588	-0.6692217820883107	0.059806767521870634	3.3995342819178324e-29	9.966418158973026e-29	Not significant
SAUSA300_RS05835	216.47032791699004	0.8288537449909755	0.07422818126625154	3.9195756228630903e-29	1.1476234931806344e-28	Not significant
SAUSA300_RS09140	389.3537747096415	-0.5427479838830427	0.048536474243991885	4.060237009436066e-29	1.1872801023736569e-28	Not significant
SAUSA300_RS09520	54.01836995304591	2.1581295158176954	0.1953382877472888	5.974823911693748e-29	1.7448940178566464e-28	Up
SAUSA300_RS07010	101.95600900086629	-1.0406320123025015	0.09394466545889678	7.768410169053087e-29	2.2657862993071502e-28	Not significant
SAUSA300_RS08625	172.6348876364439	-0.8282538745550563	0.0747395466213667	9.6634294355894145e-29	2.8148914168970446e-28	Not significant
SAUSA300_RS08035	422.03342320128854	0.5738747233347214	0.0518432003989386	1.3722822996985314e-28	3.9922534933684895e-28	Not significant
SAUSA300_RS11475	84.66095515597395	1.4580858414999307	0.13273178109308378	1.6346649772132818e-28	4.749505521277415e-28	Not significant
SAUSA300_RS06820	411.4662831865457	-0.5570974567874327	0.05053432092025978	2.301131095396281e-28	6.677389339319566e-28	Not significant
SAUSA300_RS01820	47.47692833211349	-1.549643923825389	0.1420966502077488	2.900448064425278e-28	8.40575712938536e-28	Not significant
SAUSA300_RS12170	522.4418446026758	-0.4818491543659741	0.043765747564443194	2.9351465303135286e-28	8.495494092192464e-28	Not significant
SAUSA300_RS02480	273.9210957261539	0.7508705073893017	0.06838914780029848	3.0908908087706604e-28	8.934913074908833e-28	Not significant
SAUSA300_RS08485	93.76635859733985	1.3100101607153654	0.1198822714610946	3.517067332383893e-28	1.0153969773062635e-27	Not significant
SAUSA300_RS08570	405.99142185107627	-0.5264037105948579	0.047941536862779154	3.914006377834821e-28	1.1285633091982532e-27	Not significant
SAUSA300_RS05805	183.7251965649319	0.8891399531192828	0.08118162112392703	3.9395199834853855e-28	1.1344820205606647e-27	Not significant
SAUSA300_RS13385	43.77185170192945	-1.5591782958686617	0.1435060150757777	4.659248527010088e-28	1.3400493551135208e-27	Not significant
SAUSA300_RS11710	127.70658166752243	-0.9842601474010638	0.0902410500591939	5.409333499102752e-28	1.553817387684187e-27	Not significant
SAUSA300_RS04805	519.0403238304807	0.5039716165669035	0.04607104971480592	6.201202567031452e-28	1.779033523328695e-27	Not significant
SAUSA300_RS07140	160.71071467615496	0.9868299581301768	0.09074451687245355	8.01575214749971e-28	2.296704802967486e-27	Not significant
SAUSA300_RS14190	143.71589529198135	-0.8593635440693472	0.0789683595287888	8.278421133849714e-28	2.3689821483657986e-27	Not significant
SAUSA300_RS14605	38.6800143911601	-1.6844858355655683	0.15616354121883197	9.834606037655772e-28	2.8107699416666937e-27	Down
SAUSA300_RS02615	147.12926256374848	1.0032978296214505	0.09246062952849268	1.0888510071694212e-27	3.1080753341410707e-27	Not significant
SAUSA300_RS14060	120.40799214031001	-0.9292306811896709	0.08597046644115681	1.7039653480075372e-27	4.857795948267102e-27	Not significant
SAUSA300_RS02915	33.143206910536044	-1.830321159921072	0.17066758814225183	1.7191455029889925e-27	4.8949386974968186e-27	Down
SAUSA300_RS12040	773.3122145304488	0.40607777982165577	0.03742216942135899	1.7532770964562985e-27	4.985881743047599e-27	Not significant
SAUSA300_RS15205	6349.722044481033	0.14908956062128603	0.013737926094981458	1.936001352011445e-27	5.498630556586813e-27	Not significant
SAUSA300_RS04270	702.8192967162021	0.45421089328766806	0.041983309389199426	2.5135985164543943e-27	7.130220230590707e-27	Not significant
SAUSA300_RS08560	188.62822610470695	0.8563793796992517	0.07942305628448693	2.6669299794778272e-27	7.555748073863084e-27	Not significant
SAUSA300_RS14020	110.19740556287496	1.171816140377756	0.10917547928915364	3.236883146537334e-27	9.159090993000542e-27	Not significant
SAUSA300_RS02620	80.75776543051042	1.440607135513107	0.13455328945362702	3.4323390881720874e-27	9.700088727442856e-27	Not significant
SAUSA300_RS07300	66.73705694372447	1.6891177215423658	0.15871664681157746	5.97520749352339e-27	1.6865505022041827e-26	Up
SAUSA300_RS01095	32.23076531734312	-1.8705523471180014	0.1766757166514078	8.071475826210978e-27	2.2754160476617068e-26	Down
SAUSA300_RS06640	36.61356865870405	3.53073642821994	0.3318100268787653	9.004649865287457e-27	2.5353438667733868e-26	Up
SAUSA300_RS04720	182.26798884526875	-0.740856587920974	0.06961076551187324	1.235054838794383e-26	3.4731146579199275e-26	Not significant
SAUSA300_RS09650	166.1131369222735	-0.7783985363586701	0.07333304108284881	1.6522259092130054e-26	4.640511041308133e-26	Not significant
SAUSA300_RS08865	664.2610762092141	0.4430297508983721	0.041647994815088164	1.739011343379717e-26	4.8782377388271964e-26	Not significant
SAUSA300_RS10850	67.5275668790574	-1.22138564034399	0.11590800945271697	2.180229912014184e-26	6.108402770729395e-26	Not significant
SAUSA300_RS00895	1342.2345127148817	0.3051213131990322	0.028862616305893214	4.015692063609348e-26	1.1237022687221732e-25	Not significant
SAUSA300_RS11270	45.814697126127065	2.11893246106467	0.20307004138848825	4.9894414264927194e-26	1.3944691947507294e-25	Up
SAUSA300_RS05630	263.4936995562066	-0.6122688307045184	0.05825980627459063	6.127796814735673e-26	1.7105199697575038e-25	Not significant
SAUSA300_RS06595	327.6763924281073	-0.5505657347795937	0.052564653162986835	9.146587518505624e-26	2.550059632916703e-25	Not significant
SAUSA300_RS12455	93.99619629486926	1.2433143573104886	0.11938986034782643	9.15916991853516e-26	2.550442051978885e-25	Not significant
SAUSA300_RS03940	53.04824864856068	-1.3875446983379152	0.13371609983312688	1.0080926383717056e-25	2.8036806262782767e-25	Not significant
SAUSA300_RS10290	1301.1832930774024	0.29729112023670295	0.02838637392127664	1.0556078439059322e-25	2.9322440108498116e-25	Not significant
SAUSA300_RS12355	103.88342234154273	1.168223498588159	0.11242374103200042	1.246970986669176e-25	3.4595841398443605e-25	Not significant
SAUSA300_RS08705	159.75925773818219	0.9011799874735129	0.08664977587297588	1.4647987715793052e-25	4.058973453523653e-25	Not significant
SAUSA300_RS04795	201.42318991340642	0.800630734921507	0.07693381084479027	1.529812065528966e-25	4.233968916153768e-25	Not significant
SAUSA300_RS05935	266.1002534565824	-0.628120246081546	0.06032433252229267	1.7317977758273215e-25	4.787168821393872e-25	Not significant
SAUSA300_RS05330	173.93785622846804	0.9023765250874434	0.08697572013288885	1.884116287729517e-25	5.201898731292052e-25	Not significant
SAUSA300_RS08700	456.9485780780342	0.5213379937429162	0.050107180755126886	1.9930238268614447e-25	5.495914189223984e-25	Not significant
SAUSA300_RS08580	350.91538255466156	-0.5451929930835112	0.0523912545760551	2.0093380900005946e-25	5.53419389195079e-25	Not significant
SAUSA300_RS00555	401.77704087411826	-0.5267023946822895	0.050746147635743526	2.502133127455287e-25	6.883135265974339e-25	Not significant
SAUSA300_RS09260	802.2697832146267	-0.3535046275150654	0.034109554190175216	3.6545539802418256e-25	1.0041196020591973e-24	Not significant
SAUSA300_RS09085	72.90145509088308	-1.1771240834563408	0.11458522468672588	3.9708103718353813e-25	1.0896976593396251e-24	Not significant
SAUSA300_RS12640	120.2056774973466	1.0906059472650964	0.10619770750705465	4.79262765854056e-25	1.3136419184553943e-24	Not significant
SAUSA300_RS14765	414.72606535898257	0.5349073103928382	0.05188449328492602	5.510995928510739e-25	1.5087263221855514e-24	Not significant
SAUSA300_RS10055	18.376585786448107	-2.499492937671396	0.24669636042521217	5.880550025840439e-25	1.607962897690745e-24	Down
SAUSA300_RS00545	60.66315108593918	-1.2812464754814616	0.12540217688783475	6.304150466348318e-25	1.7217217660194988e-24	Not significant
SAUSA300_RS03525	88.8120454972209	-1.013170685509266	0.09922901421505426	8.947773060570966e-25	2.44078941400467e-24	Not significant
SAUSA300_RS10070	75.17639709774554	-1.1306115317911805	0.11125145034832858	1.2782205576432749e-24	3.4825769684292814e-24	Not significant
SAUSA300_RS07505	107.01808214074875	1.112912467846629	0.10941561110945085	1.3077316551161984e-24	3.5587195160159704e-24	Not significant
SAUSA300_RS10845	114.72714307640511	-0.9420183225364878	0.0925666763191346	1.3118879123176565e-24	3.5657646362278e-24	Not significant
SAUSA300_RS09760	289.25326679734695	0.6312358186637104	0.06191502351978778	1.600321889169252e-24	4.344549281455905e-24	Not significant
SAUSA300_RS00595	183.84642277855298	-0.7211878499935513	0.07084811549916742	1.6535921163375563e-24	4.483816525229965e-24	Not significant
SAUSA300_RS12855	72.49280633416099	1.4534981839873184	0.14361539749761545	1.662683391919577e-24	4.503100853115521e-24	Not significant
SAUSA300_RS04560	2452.810181839862	-0.21939799019121942	0.021508535259087583	1.9023142077937586e-24	5.145974818942688e-24	Not significant
SAUSA300_RS03610	93.58692803430796	-0.9899219167740763	0.09877605825106532	6.2542734107522495e-24	1.6898422814087135e-23	Not significant
SAUSA300_RS09290	148.1098609818632	0.9137208127128894	0.09122796650861933	7.674499880552679e-24	2.071113550208463e-23	Not significant
SAUSA300_RS10005	62.4612402978377	1.547738626400334	0.15543089792082795	8.290132413677867e-24	2.2346032276205148e-23	Not significant
SAUSA300_RS05690	67.31460024912253	1.4554019879794682	0.14680171153220734	1.3363348661678067e-23	3.597824639682557e-23	Not significant
