gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SAUSA300_RS01100	59.123702479931325	1.3659048221850731	0.18705365612082805	84.05356746323866	5.5975725764059345e-19	9.207865228722704e-19
SAUSA300_RS08865	475.2007085416568	-0.6146609907548374	0.07202888528911262	83.96099621762164	5.862749304030848e-19	9.637105973027586e-19
SAUSA300_RS12385	97.9933163712802	-1.1292201926158116	0.20532930489758733	83.94032661133818	5.923653840061687e-19	9.730189520678944e-19
SAUSA300_RS08370	65.14312455071388	-1.629492666332746	0.19310537815970014	83.93363358750216	5.943510625188086e-19	9.755762389828929e-19
SAUSA300_RS03255	28.92287159029208	-2.483296669476804	0.31329581168465775	83.42082645463523	7.680645088797175e-19	1.2598029976217428e-18
SAUSA300_RS09600	75.17141167179136	0.8616274597119982	0.17760876150323768	83.22978937285757	8.450470163381675e-19	1.3850734597761751e-18
SAUSA300_RS03200	48.479043894285844	-0.8240253334714591	0.21840175202397288	82.74378032487229	1.0774978110188555e-18	1.764800230430451e-18
SAUSA300_RS02485	70.22641036230192	-1.099410551156886	0.19576878353525332	82.03889544911041	1.532781332300595e-18	2.5086888712114056e-18
SAUSA300_RS09975	47.05374975944514	2.7242292841605615	0.3811104330591872	81.95111094824142	1.601556869802324e-18	2.6193687122935206e-18
SAUSA300_RS05120	20.39161267098273	-2.2525570531464716	0.3807937765017131	81.82962549559579	1.7018551590596153e-18	2.7814083957332075e-18
SAUSA300_RS10065	189.01210639890562	-0.9570644143180701	0.11878073453313337	81.4137686501555	2.095196510664589e-18	3.421803346562771e-18
SAUSA300_RS04935	446.7266399724203	-0.036004290868676306	0.06974219312838174	81.23792866651263	2.287746657195119e-18	3.733589415436798e-18
SAUSA300_RS05610	352.3241673780587	-0.2454075485335028	0.07784449014291242	81.15814935491818	2.3808486420910078e-18	3.882745993374224e-18
SAUSA300_RS13680	324.2501432903476	0.6114962600640239	0.07740564318629777	81.01057176303334	2.5631726110323603e-18	4.177090035887263e-18
SAUSA300_RS01080	54.64952492464407	-1.7641419055365357	0.22223301964645817	80.94225933357836	2.652233213290255e-18	4.319134259295154e-18
SAUSA300_RS06475	71.40241767035491	-1.3029514146260255	0.17291114431055618	80.90446730053418	2.7028263549416915e-18	4.398376221382223e-18
SAUSA300_RS02655	18.240822300751745	-3.312207952980365	0.4618751282906896	80.68920014103307	3.0099744892007722e-18	4.894704762638854e-18
SAUSA300_RS02015	18.484719811804176	-2.351797180301295	0.41928616913524586	80.67481614608701	3.0317002502837007e-18	4.926512906711014e-18
SAUSA300_RS06390	740.7976907299774	0.4429622103108778	0.04978733294846777	80.64867892287555	3.071580384766049e-18	4.987755442785697e-18
SAUSA300_RS08990	269.87946028063106	-0.7881273916233072	0.08970124179177634	80.50034947525984	3.3080435305940346e-18	5.36790230535052e-18
SAUSA300_RS12520	68.17867638957162	-1.5920589301796715	0.19564955930476313	80.45433711453441	3.3850311768783394e-18	5.4889137044891106e-18
SAUSA300_RS08330	549.3074126490939	0.25104300334559704	0.06030952411323115	80.271280166971	3.709479574658511e-18	6.010730792270736e-18
SAUSA300_RS12980	79.99689783672422	-0.9731320941189561	0.1558878004827667	79.88134987129797	4.508014164457165e-18	7.299453540313203e-18
SAUSA300_RS04675	35.54645844276635	-2.2437673386282215	0.27596010936087023	79.67688820488428	4.9932528515836685e-18	8.079409841644983e-18
SAUSA300_RS01535	35.73123813255844	1.3342550814243348	0.25561797297274313	79.65191913764585	5.05598204225922e-18	8.175095341961426e-18
SAUSA300_RS05240	361.0194701187547	0.3241874015307971	0.08454540028018342	79.64012660189331	5.085881527822417e-18	8.217599769741475e-18
SAUSA300_RS04465	96.844588128992	-1.2061780733184782	0.14969637876720193	79.63660250082975	5.094851008091109e-18	8.226249853376347e-18
SAUSA300_RS05225	213.511121779643	-0.09383031300329209	0.11348472970659376	79.61135072711386	5.1595858277697455e-18	8.324863658280973e-18
SAUSA300_RS08575	832.736722573896	0.18995442863773343	0.046899837774679744	79.29892830795114	6.031932980096667e-18	9.725476633394696e-18
SAUSA300_RS06720	49.52531100105555	-1.2548094594523969	0.22396271866282613	79.24941336336988	6.183132327703261e-18	9.962199748955325e-18
SAUSA300_RS13910	17.511419159673245	-2.6444641335700503	0.4108660609985951	79.2286271767104	6.24772929876985e-18	1.0059153683440487e-17
SAUSA300_RS03495	31.888481511539254	-2.583712954910487	0.3275589198423896	78.81048951512363	7.700512740600384e-18	1.2389438815322401e-17
SAUSA300_RS13045	1061.9570804012	-0.37134717693784564	0.04917181406900341	78.61565597619602	8.488426825424052e-18	1.3647470691052806e-17
SAUSA300_RS01875	33.701019561737326	-2.2136502338272908	0.30102260758145555	78.547103197371	8.784423315026038e-18	1.4113391978590563e-17
SAUSA300_RS01560	12.459267797570451	-2.780780791584738	0.5338959013124019	78.068344390194	1.116026250685137e-17	1.7917852648614586e-17
SAUSA300_RS06655	113.85786029113657	-1.2622928489001202	0.14713143295295553	77.99837430637947	1.1557614926303893e-17	1.8542717882469222e-17
SAUSA300_RS10155	268.305518338776	-0.3299887436401746	0.0845893159873579	77.56390802467939	1.4361882689724238e-17	2.3025569499029344e-17
SAUSA300_RS11160	107.94621167628301	-1.2157558637334551	0.15220092790902673	77.17596211491872	1.7436236818359617e-17	2.793481602941417e-17
SAUSA300_RS12570	33.989358425700694	2.2937297996046273	0.30351084754455676	77.12050639106195	1.7926471557280834e-17	2.870001603998163e-17
SAUSA300_RS05885	741.2169940117564	0.3661193303551362	0.05457791846371982	76.8381401740549	2.0644761087683907e-17	3.302871411707517e-17
