gene_id	gene_name	USA100_N315_Biofilm_10h_1	USA100_N315_Biofilm_10h_2	USA100_N315_Biofilm_10h_3	USA100_N315_Biofilm_10h_4	USA100_N315_Biofilm_24h_1	USA100_N315_Biofilm_24h_2	USA100_N315_Biofilm_24h_3	USA100_N315_Biofilm_24h_4	USA100_N315_Biofilm_24h_5	USA100_N315_Biofilm_24h_6	USA100_N315_Biofilm_24h_7	USA100_N315_Biofilm_24h_8	USA100_N315_Biofilm_5h_1	USA100_N315_Biofilm_5h_2	USA100_N315_Biofilm_5h_3	USA100_N315_Biofilm_5h_4	USA100_N315_Planktonic_10h_1	USA100_N315_Planktonic_10h_2	USA100_N315_Planktonic_10h_3	USA100_N315_Planktonic_10h_4	USA100_N315_Planktonic_24h_1	USA100_N315_Planktonic_24h_2	USA100_N315_Planktonic_24h_3	USA100_N315_Planktonic_24h_4	USA100_N315_Planktonic_24h_5	USA100_N315_Planktonic_24h_6	USA100_N315_Planktonic_24h_7	USA100_N315_Planktonic_24h_8	USA100_N315_Planktonic_5h_1	USA100_N315_Planktonic_5h_2	USA100_N315_Planktonic_5h_3	USA100_N315_Planktonic_5h_4
SA_RS08715	SA_RS08715	77	74	80	76.096	46	69	37	62	50	57	48	67	74.125	98.535	92.062	92.55	62	76	54	61	62.091	64	84	56	65	71	71	67	49	83.284	71.315	65.391
SA_RS08720	SA_RS08720	166	167	191.002	194	110	110	106.052	114	107	125	124	121	244.373	228.362	241.758	202.973	170.619	193.057	165	159	169.03	158	153	142.002	183	175	153	185	151.005	170.503	166.751	175.021
SA_RS08725	SA_RS08725	104	107	111.998	108	63	59	53	74	50	67	45	67	154.316	169.645	161.31	162.36	112.088	119.943	116.948	107	248.97	234	235	232.998	211	206	238.999	244	131.229	135.007	141.84	156.215
SA_RS08730	SA_RS08730	1032.856	945.866	980.984	979	633.011	607.599	631.003	651.99	621.096	631.474	705.067	648.012	985.976	1016.178	949.893	964.174	439	404.701	402	418.165	360.31	369	340	321.001	365	365	378	393	529.165	510.628	495.292	532.775
SA_RS08735	SA_RS08735	86	93	92	106	49	62	52	52.041	42	49	51	52	222.377	194.326	196.067	232.332	193	200	172	187	150	169	155	149	183	159	164	156	265.371	219.185	263.307	238.386
SA_RS08740	SA_RS08740	168	157	172.069	157	79	62	94	89	87	98	96.977	85.001	107.243	116.36	118.822	123.789	110	120	106	107	39.656	29	44	28	40	39	34	35	65	58.937	56.007	54.988
SA_RS08745	SA_RS08745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SA_RS08750	SA_RS08750	42	42	35.008	34	54	52	51	61	58	65	70	68	154.21	145.577	176.029	144.195	66	75	69	67	59	78	61	58.005	57	50	62	50	56	52.091	58.001	59.479
SA_RS08755	SA_RS08755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SA_RS08760	SA_RS08760	1982.693	1967.422	2050.19	1901.624	1085.469	1111.384	1099.947	1146.047	1089	1190.396	1118.906	1174.74	2871.379	2965.71	2978.393	2879.631	871	883	847.971	846.996	1890	1836	1887.108	1839	1969.97	2000.362	2026.606	1989.974	577.594	619.401	576.673	656.452
SA_RS08765	SA_RS08765	508.008	476	527.972	501.012	304.51	292	310	303.012	270	290	319.026	268.011	565.89	585.523	604.633	578.795	134	164.247	169	164.968	529	505	517.096	486	581	573	588	555	137.111	151.215	153.535	172.722
SA_RS08770	SA_RS08770	245.615	256.556	221.762	229.088	149	134.948	150.276	138.671	135.546	150.965	148.424	133.853	195.741	156.579	162.203	174.545	84.706	94.007	77.098	63.54	91.327	92.746	90.514	81.478	103.233	99.613	103.238	99	72.272	75.024	62	76.2
SA_RS08775	SA_RS08775	404.421	415.32	409.434	392.913	221.825	238.052	232.724	238.329	214	231.035	253.576	243.147	427.533	429.378	402.179	402.881	183.294	147.587	156.954	178.46	516.672	542.254	535.486	539.948	594.767	601.387	583.762	549	228.824	229.933	247.223	220.405
SA_RS08780	SA_RS08780	1600.948	1528.951	1587.249	1516.99	652.274	662.819	666.714	702.94	622.995	723.921	740	702.878	3065.631	3148.553	3137.755	3175.477	670.031	683.004	711	676	382.978	445.082	428.568	374	453.743	440	432.109	446	532.235	615.555	574.553	640.881
SA_RS08785	SA_RS08785	3.126	1	0.69	0	0	0	0	0	0	0.981	0	0	0	0.981	0	0	1	0.996	1	0	2.983	4.918	0	2	3.257	0	0.891	2	2.994	1.987	2	0
SA_RS08790	SA_RS08790	469	403.999	448.077	389.029	197.871	191.002	190.963	204	170	194	187.39	211	568.913	519.561	598.615	578.154	278.979	281	274	290	379	455	406.001	393	427	439.99	445	450	422.616	412.116	465.332	419.214
SA_RS08795	SA_RS08795	0	1	1	2	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
SA_RS08800	SA_RS08800	15863.528	15832.146	15923.109	15396.241	9324.207	9320.519	9597.373	10113.783	9466.674	10380.014	10324.124	10132.818	9407.126	9299.068	9601.044	9350.247	2984.126	2814.413	2777.04	2833.337	2192	2188.031	2192.919	2210.43	2389.58	2354.94	2329.149	2342	2984.16	2877.105	2980.558	3088.937
SA_RS08805	SA_RS08805	15355.043	15125.467	15218.679	14789.217	7597.88	7767.356	7807.713	8256.662	7663.214	8606.783	8325.401	8115.32	5610.14	5615.953	5668.132	5488.156	2317.682	2309.412	2224.613	2305.576	566.541	657.971	609.988	617.898	677.042	677.041	654.156	644.082	1029.692	1029.721	1081.05	1061.05
SA_RS08810	SA_RS08810	757.42	715.752	770.853	719.456	409.647	463.676	450.443	423.585	414.877	463.079	440.508	461.682	1158.967	1145.859	1189.05	1147.131	815.818	768.207	778.305	805.02	275.764	310.537	262.263	248.312	341.005	324.168	351.316	346.959	305.985	326.778	343.407	315.06
